date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:03:24	1004325/1004325	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2016%20Apr%202024%2021:17:54%20GMT	https://erramix-themes.com/agentic/images/hero/hero.svg	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/hero/hero.svg	(from https://erramix-themes.com/agentic/)
07:03:32	316591/316591	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Apr%202024%2020:55:42%20GMT	https://erramix-themes.com/agentic/images/portfolio/5.png	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/portfolio/5.png	(from https://erramix-themes.com/agentic/)
07:03:33	14253/14253	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Sep%202021%2013:15:08%20GMT	https://erramix-themes.com/agentic/images/testimonials/testimonials-3.jpg	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/testimonials/testimonials-3.jpg	(from https://erramix-themes.com/agentic/)
07:03:34	39727/39727	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Sep%202021%2013:15:08%20GMT	https://erramix-themes.com/agentic/images/testimonials/testimonials-1.jpg	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/testimonials/testimonials-1.jpg	(from https://erramix-themes.com/agentic/)
07:03:35	20220/20220	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Sep%202021%2013:15:08%20GMT	https://erramix-themes.com/agentic/images/testimonials/testimonials-4.jpg	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/testimonials/testimonials-4.jpg	(from https://erramix-themes.com/agentic/)
07:03:35	638215/638215	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Apr%202024%2020:57:32%20GMT	https://erramix-themes.com/agentic/images/portfolio/6.png	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/portfolio/6.png	(from https://erramix-themes.com/agentic/)
07:03:36	567614/567614	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Apr%202024%2020:58:08%20GMT	https://erramix-themes.com/agentic/images/portfolio/7.png	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/portfolio/7.png	(from https://erramix-themes.com/agentic/)
07:03:36	22595/22595	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Sep%202021%2013:15:08%20GMT	https://erramix-themes.com/agentic/images/testimonials/testimonials-5.jpg	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/testimonials/testimonials-5.jpg	(from https://erramix-themes.com/agentic/)
07:03:37	39727/39727	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Sep%202021%2013:15:08%20GMT	https://erramix-themes.com/agentic/images/team/team-1.jpg	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/team/team-1.jpg	(from https://erramix-themes.com/agentic/)
07:03:37	20220/20220	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Sep%202021%2013:15:08%20GMT	https://erramix-themes.com/agentic/images/team/team-2.jpg	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/team/team-2.jpg	(from https://erramix-themes.com/agentic/)
07:03:37	22595/22595	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Sep%202021%2013:15:08%20GMT	https://erramix-themes.com/agentic/images/team/team-3.jpg	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/team/team-3.jpg	(from https://erramix-themes.com/agentic/)
07:03:38	89664/89664	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2017%20Oct%202023%2022:11:14%20GMT	https://erramix-themes.com/agentic/js/jquery-3.6.1.min.js	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/js/jquery-3.6.1.min.js	(from https://erramix-themes.com/agentic/)
07:03:38	26568/26568	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2013%20Jun%202019%2002:28:26%20GMT	https://erramix-themes.com/agentic/js/pace.js	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/js/pace.js	(from https://erramix-themes.com/agentic/)
07:03:38	289382/289382	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Apr%202024%2020:55:42%20GMT	https://erramix-themes.com/agentic/images/portfolio/2.png	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/portfolio/2.png	(from https://erramix-themes.com/agentic/)
07:03:38	2142/2142	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2016%20Sep%202023%2004:15:34%20GMT	https://erramix-themes.com/agentic/js/jquery.bez.js	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/js/jquery.bez.js	(from https://erramix-themes.com/agentic/)
07:03:39	5537/5537	---M-Z	200	added ('OK')	application/javascript	etag:%22659946f5-88b%22	https://cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/js/toastr.min.js	C:/Users/Home/Desktop/THASSIA/agencialimino/cdnjs.cloudflare.com/ajax/libs/toastr.js/latest/js/toastr.min.js	(from https://erramix-themes.com/agentic/)
07:03:40	44342/44342	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2020%20Apr%202018%2018:22:10%20GMT	https://erramix-themes.com/agentic/js/owl.carousel.min.js	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/js/owl.carousel.min.js	(from https://erramix-themes.com/agentic/)
07:03:40	115913/115913	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2016%20Sep%202023%2004:14:36%20GMT	https://erramix-themes.com/agentic/js/TweenMax.min.js	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/js/TweenMax.min.js	(from https://erramix-themes.com/agentic/)
07:03:41	80669/80669	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2008%20Oct%202023%2017:04:30%20GMT	https://erramix-themes.com/agentic/js/bootstrap.bundle.min.js	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/js/bootstrap.bundle.min.js	(from https://erramix-themes.com/agentic/)
07:03:41	1074/1074	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Jan%202023%2016:14:28%20GMT	https://erramix-themes.com/agentic/js/jquery.counterup.min.js	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/js/jquery.counterup.min.js	(from https://erramix-themes.com/agentic/)
07:03:41	19480/19480	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Jan%202023%2016:15:38%20GMT	https://erramix-themes.com/agentic/js/jquery.waypoints.js	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/js/jquery.waypoints.js	(from https://erramix-themes.com/agentic/)
07:03:42	3020/3020	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2002%20Sep%202024%2010:43:41%20GMT	https://erramix-themes.com/agentic/js/main.js	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/js/main.js	(from https://erramix-themes.com/agentic/)
07:03:49	459804/459804	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Apr%202024%2020:55:42%20GMT	https://erramix-themes.com/agentic/images/portfolio/3.png	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/portfolio/3.png	(from https://erramix-themes.com/agentic/work.html)
07:03:52	578357/578357	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Apr%202024%2020:55:42%20GMT	https://erramix-themes.com/agentic/images/portfolio/4.png	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/portfolio/4.png	(from https://erramix-themes.com/agentic/work.html)
07:03:53	1632237/1632237	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Apr%202024%2020:35:34%20GMT	https://erramix-themes.com/agentic/images/about/about-1.png	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/about/about-1.png	(from https://erramix-themes.com/agentic/about.html)
07:03:54	2814851/2814851	---M--	200	added ('OK')	image/png	date:Sat,%2020%20Apr%202024%2020:35:54%20GMT	https://erramix-themes.com/agentic/images/about/about-2.png	C:/Users/Home/Desktop/THASSIA/agencialimino/erramix-themes.com/agentic/images/about/about-2.png	(from https://erramix-themes.com/agentic/about.html)
